rank,path,size_bytes,size_mib,file_type,git_status,category,sha256,referenced_by
170,out/tissue_box_init_sanitized/verification/tissue_box_right_verified.jpg,2331261,2.223,image,ignored,ARCHIVE_RND,a82f5c5493a40ba6ae489300a4f0b241b7f607815ca6d1d750fc212f4a9f3070,
171,.venv/Lib/site-packages/matplotlib/ft2font.cp312-win_amd64.pyd,2317312,2.21,pyd,ignored,SAFE_DELETE_CANDIDATE,b65a839290a644136bfeac8226496cb1e325d9aa9cb8374d1e5b1e816f39d112,
172,out/object_anchor_full99/legacy_regression/full99/overlays/tissue_FDR_005.jpg,2308250,2.201,image,ignored,ARCHIVE_RND,d745889f055111a1dabd80b38105b5484bfa38013afa9037c4c9ce1bbeeb0384,
173,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_F_003.jpg,2306320,2.199,image,ignored,ARCHIVE_RND,914e64a95f6235c8a1852ae90ec1c9a7eb9509df224b61971a159b31b76c5490,
174,out/object_anchor_full99/legacy_regression/pilot/overlays/tissue_FDR_005.jpg,2306266,2.199,image,ignored,ARCHIVE_RND,76e5c48eedcc741e9f3a74dada84268cf7f4d9be745d1e1991727dd3c8688b15,
175,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FDL_003.jpg,2305353,2.199,image,ignored,ARCHIVE_RND,f36205192ba960f7424176a7be1d961c0959f994ef7ac8ca524f0f85bb90169d,
176,out/object_anchor_pilot/regression_pilot/overlays/tissue_FDR_005.jpg,2305238,2.198,image,ignored,ARCHIVE_RND,114fe0ac5a58341ee92022c52136ce8abeb0d906bd25d703af678c48b7d9a6fe,
177,out/tissue_box_front_24_sanitized/verification/tissue_FDL_003_verified.jpg,2299576,2.193,image,ignored,ARCHIVE_RND,018525484997d4eadb8ce92e5bf2b102d0c6c99b85ef04b6492fe99d0aea5763,
178,out/object_anchor_full99/legacy_regression/baseline/overlays/tissue_FDR_005.jpg,2298365,2.192,image,ignored,ARCHIVE_RND,508ea5f877741da004f57a7b9c69290d1f6a7e8d97bf00c8b06c5c2ebcbb35c5,
179,out/object_anchor_pilot/regression_baseline/overlays/tissue_FDR_005.jpg,2297288,2.191,image,ignored,ARCHIVE_RND,af29c078f23c0ea0198439d7781c4b97fe223878f14f6a3ccb3e5bb062492b9a,
180,.venv/Lib/site-packages/scipy/linalg/_flapack.cp312-win_amd64.pyd,2294272,2.188,pyd,ignored,SAFE_DELETE_CANDIDATE,cd4d1cca918fb1fdb4f1a3bd514349525e25461b534a8095443bf351269b0d07,
181,out/object_anchor_full99/legacy_regression/pilot/overlays/tissue_F_005.jpg,2290474,2.184,image,ignored,ARCHIVE_RND,95bfb9ed8ba17ef67049a61c67f613201b66d06764bf1296c0048bc06e06a1b1,
182,out/object_anchor_pilot/regression_pilot/overlays/tissue_F_005.jpg,2289846,2.184,image,ignored,ARCHIVE_RND,694066d04f4094db8ebc36f6ea963c90a2f4aabaf52233a2de56f0bb318493e3,
183,out/object_anchor_full99/legacy_regression/baseline/overlays/tissue_F_005.jpg,2280897,2.175,image,ignored,ARCHIVE_RND,85f73944b8d134dbb06ed70f9c7b687f610cee989c1688daf4f6d3591885d74f,
184,out/object_anchor_pilot/regression_baseline/overlays/tissue_F_005.jpg,2279888,2.174,image,ignored,ARCHIVE_RND,772eb4cb9503225e6485aa1887348dcf1e213fb1b816cf39bc9cbf02a8b6fe2d,
185,.venv/Lib/site-packages/torch/include/ATen/RedispatchFunctions.h,2278536,2.173,h,ignored,SAFE_DELETE_CANDIDATE,4e842866e0bc307339879c8e124ff667ced28aa022088fee87372ecc216e419e,
186,out/tissue_box_front_24_sanitized/verification/tissue_F_003_verified.jpg,2273970,2.169,image,ignored,ARCHIVE_RND,fd25b8b1686c6febd5a1b64bdee76aa33669d712df01229908eea905f6b541f4,
187,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FDL_001.jpg,2268788,2.164,image,ignored,ARCHIVE_RND,c4aa3cc0dacda87d5f6c4e1a390253f926cf97daa37ca04466753936384a3535,
188,out/object_anchor_full99/legacy_regression/full99/overlays/tissue_F_005.jpg,2267260,2.162,image,ignored,ARCHIVE_RND,5037a7640678eb42772bfdfa1da087694831b4ec1123f845f038c4f7a34fb033,
189,out/tissue_box_front_24_sanitized/verification/tissue_FDL_001_verified.jpg,2266696,2.162,image,ignored,ARCHIVE_RND,ebd9fdffb7af16ae3b0cb5b94e3d2d6872ec69bf6a9eee25bba0c4c36512e4c0,
190,.venv/Lib/site-packages/scipy/special/cython_special.cp312-win_amd64.pyd,2254336,2.15,pyd,ignored,SAFE_DELETE_CANDIDATE,6c1314a2b8b1ebbfcc6347ed1632e5acf77cff8c6aa97b46f4c2568495b42448,
191,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FDL_003.jpg,2252583,2.148,image,ignored,ARCHIVE_RND,e5702080126f2a6345b8dedf0a8c93fc3cc5e626ee6e19ce9341e95c5a651308,
192,out/tissue_box_front_only_val_predictions_ids/tissue_FDR_005.jpg,2251113,2.147,image,ignored,SAFE_DELETE_CANDIDATE,ca9440a34045e43f087401c1e94001bcf82a96373d703eb66c8a5d5a3f8d0d80,
193,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FDR_005.jpg,2247751,2.144,image,ignored,ARCHIVE_RND,fb048f493061bfc2e9c7e6d76b955c6ea7bdd352dbb9bece8935929b96b7f459,
194,out/tissue_box_front_24_sanitized/verification/tissue_FDR_005_verified.jpg,2243728,2.14,image,ignored,ARCHIVE_RND,e3f2480123cd617285f4df8bd6d20ea77b057a93daeb37073f21e672c06e3dc5,
195,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FDR_001.jpg,2243175,2.139,image,ignored,ARCHIVE_RND,63c3092b096de5f3bb5e745c5515f810ed61a7348dd15eace3a416257b005286,
196,out/tissue_box_front_24_sanitized/verification/tissue_FDR_001_verified.jpg,2239421,2.136,image,ignored,ARCHIVE_RND,3bf95b479c1a4eab2b58f868d031f457b48857d2664209eece80f0bcdade29a4,
197,out/tissue_box_init_sanitized/verification/tissue_box_front_verified.jpg,2239181,2.135,image,ignored,ARCHIVE_RND,39e6cc3318bad087a1fb1a185b0327f37d5b2a8fc1de7ed0901bb1c1bf7c25b7,
198,out/tissue_box_front_only_val_predictions/tissue_FDR_005.jpg,2236412,2.133,image,ignored,SAFE_DELETE_CANDIDATE,21b199d0e9290469ab3534139fea5994a7b34d2f94a294230aba46d28c6c13e9,
199,out/tissue_box_front_only_val_predictions_max1/tissue_FDR_005.jpg,2236412,2.133,image,ignored,SAFE_DELETE_CANDIDATE,21b199d0e9290469ab3534139fea5994a7b34d2f94a294230aba46d28c6c13e9,
200,out/object_anchor_full99/legacy_regression/full99/overlays/tissue_FTL_005.jpg,2228965,2.126,image,ignored,ARCHIVE_RND,9c0bec9e0144e1dc55e40d7bfbb3257cb3f217198e0dbd6aa0152e551bddd889,
201,samples/stereo_pairs/right/test_img/1.png,2227800,2.125,image,tracked,KEEP_REPRODUCIBILITY,ee2cfd188bb117e4955f3413d2dc4634bb01a130ad97a0bccb35996d342b9e96,
202,samples/stereo_pairs/left/test_img/1.png,2223178,2.12,image,tracked,KEEP_REPRODUCIBILITY,6cfc92d628b176214e280698d9434b29265fa1b74de834733e76e9c639d1b35f,
203,out/object_anchor_pilot/regression_pilot/overlays/tissue_FTL_005.jpg,2222949,2.12,image,ignored,ARCHIVE_RND,ae5088bb6c586fae0093669e0807b9be34931166407c496459d39c29b79f7369,
204,out/tissue_box_front_only_val_predictions_ids/tissue_F_005.jpg,2221930,2.119,image,ignored,SAFE_DELETE_CANDIDATE,0a7cfd90ef2f33867b09e9e72321e1d3a29ce2c3f8d942f6712f11b963a48117,
205,out/object_anchor_full99/legacy_regression/pilot/overlays/tissue_FTL_005.jpg,2221634,2.119,image,ignored,ARCHIVE_RND,2f9a7e0281122bec2b125acf0fc835fd0bc81e5360c30462d83767ba72fe0443,
206,out/tissue_box_init_sanitized/dataset/images/train/tissue_box_top_1.jpg,2217212,2.114,image,ignored,ARCHIVE_RND,ab42dbcaf45cc5450897d9807e0452c0888649a957cd7061256855e6b0d87e2b,
207,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FDL_001.jpg,2216668,2.114,image,ignored,ARCHIVE_RND,0d07fa614bbdc44b54b48e3c0bc83e00bfe8953d2286c9cadfc43f8fb7c2be08,
208,out/tissue_box_front_only_val_predictions/tissue_F_005.jpg,2212493,2.11,image,ignored,SAFE_DELETE_CANDIDATE,0a8cb74b9d55f4746f78ebb57ba1317d53ef1ac1a47508a0570d86b7d2e740b5,
209,out/tissue_box_front_only_val_predictions_max1/tissue_F_005.jpg,2212493,2.11,image,ignored,SAFE_DELETE_CANDIDATE,0a8cb74b9d55f4746f78ebb57ba1317d53ef1ac1a47508a0570d86b7d2e740b5,
210,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_F_005.jpg,2207072,2.105,image,ignored,ARCHIVE_RND,269eddd318485c9c1893ba03550ffb77984342b308277ea0542b1d9a365cabe5,
211,out/object_anchor_full99/legacy_regression/baseline/overlays/tissue_FTL_005.jpg,2206603,2.104,image,ignored,ARCHIVE_RND,6faab70fa92d45ba4a6fbd4792f24a872fd42e8f589c5f5d6f72e595b8b424f7,
212,out/object_anchor_pilot/regression_baseline/overlays/tissue_FTL_005.jpg,2205686,2.104,image,ignored,ARCHIVE_RND,dcc946976265d921379909237dabb07c68cbad40f6c3f6efafe737be06586311,
213,.venv/Lib/site-packages/pyorbbecsdk/pyorbbecsdk.cp312-win_amd64.pyd,2200576,2.099,pyd,ignored,SAFE_DELETE_CANDIDATE,f4d677d0824e4f89bc9e04a2171b16d7b7de8b8e4d4f8b3d6e7c44da205e2c35,
214,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FDR_002.jpg,2200048,2.098,image,ignored,ARCHIVE_RND,a54c4dd3443477dee046e85e923c40e4e3c7e43b7760b965618da3455161fb6f,
215,out/tissue_box_front_24_sanitized/verification/tissue_FDR_002_verified.jpg,2188571,2.087,image,ignored,ARCHIVE_RND,c3dc248fc126062fbb17f0d2091a7e9e16484c86eea80788fcb480a3d73a91a3,
216,out/tissue_box_front_only_val_predictions/tissue_FTL_005.jpg,2186155,2.085,image,ignored,SAFE_DELETE_CANDIDATE,4a12fbe4c04be557e615be9e7bca261cd10b7cb1c9ab1119ef0b7fbb707f7c23,
217,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FTR_001.jpg,2184270,2.083,image,ignored,ARCHIVE_RND,846815a6f18b44d5b58e4e9c2e0a02203b125196be7c51edacc4a4c0eb521f54,
218,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_F_002.jpg,2179738,2.079,image,ignored,ARCHIVE_RND,5b16ec2f4a8fe7e0903ca282af588efda231b64c554254120172a13b2107fbbe,
219,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FDR_005.jpg,2177966,2.077,image,ignored,ARCHIVE_RND,f0c1bc8d4b6fe2172cc64108bd310957d39ee1b3ce73fe2cf1dfcc8ab22db8f5,
220,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FDR_001.jpg,2176256,2.075,image,ignored,ARCHIVE_RND,0470ed987a2c4d6928094b9c439873e714bbbe50fead3b86ffd670b13478dd5d,
221,.venv/Lib/site-packages/PIL/_imagingft.cp312-win_amd64.pyd,2174976,2.074,pyd,ignored,SAFE_DELETE_CANDIDATE,77c6d37de41733df40fb36d9af47644989ac17da036515e759303969edb22c48,
